,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Year
44,Tirur,45,GEN,Malappuram,C. Mammutty,Indian Union Muslim League,"2,05,232","1,56,062",76.0 %,"7,061",4.5%,2016
45,Kottakkal,46,GEN,Malappuram,Abid Hussain Thangal,Indian Union Muslim League,"1,98,778","1,47,667",74.3 %,"15,042",10.2%,2016
46,Thavanur,47,GEN,Malappuram,Dr. K.T. Jaleel,Independent,"1,84,719","1,41,652",76.7 %,"17,064",12.0%,2016
47,Ponnani,48,GEN,Malappuram,P. Sreeramakrishnan,Communist Party Of India (Marxist),"1,90,703","1,41,159",74.0 %,"15,640",11.1%,2016
48,Thrithala,49,GEN,Palakkad,V.T. Balram,Indian National Congress,"1,78,471","1,40,472",78.7 %,"10,547",7.5%,2016
49,Pattambi,50,GEN,Palakkad,Muhammed Muhassin,Communist Party Of India,"1,79,601","1,39,684",77.8 %,"7,404",5.3%,2016
50,Shornur,51,GEN,Palakkad,P.K.Sasi,Communist Party Of India (Marxist),"1,84,226","1,40,862",76.5 %,"24,547",17.4%,2016
51,Ottapalam,52,GEN,Palakkad,P Unni,Communist Party Of India (Marxist),"1,96,700","1,49,200",75.9 %,"16,088",10.8%,2016
52,Kongad,53,SC,Palakkad,K.V.Vijayadas,Communist Party Of India (Marxist),"1,73,274","1,32,898",76.7 %,"13,271",10.0%,2016
53,Mannarkad,54,GEN,Palakkad,Adv.N.Samsudheen,Indian Union Muslim League,"1,89,231","1,47,571",78.0 %,"12,325",8.4%,2016
54,Malampuzha,55,GEN,Palakkad,V S Achuthanandan,Communist Party Of India (Marxist),"2,02,405","1,58,786",78.4 %,"27,142",17.1%,2016
55,Palakkad,56,GEN,Palakkad,Shafi Parambil,Indian National Congress,"1,78,028","1,37,085",77.0 %,"17,483",12.8%,2016
56,Tarur,57,SC,Palakkad,A.K.Balan,Communist Party Of India (Marxist),"1,63,539","1,27,182",77.8 %,"23,068",18.1%,2016
57,Chittur,58,GEN,Palakkad,K Krishnankutty,Janata Dal (Secular),"1,85,675","1,53,020",82.4 %,"7,285",4.8%,2016
58,Nenmara,59,GEN,Palakkad,K. Babu,Communist Party Of India (Marxist),"1,90,164","1,53,525",80.7 %,"7,408",4.8%,2016
59,Alathur,60,GEN,Palakkad,K.D.Prasenan,Communist Party Of India (Marxist),"1,64,798","1,27,563",77.4 %,"36,060",28.3%,2016
60,Chelakkara,61,SC,Thrissur,U R Pradeep,Communist Party Of India (Marxist),"1,90,417","1,50,303",78.9 %,"10,200",6.8%,2016
61,Kunnamkulam,62,GEN,Thrissur,A C Moideen,Communist Party Of India (Marxist),"1,91,057","1,50,272",78.7 %,"7,782",5.2%,2016
62,Guruvayoor,63,GEN,Thrissur,K.V. Abdul Khader,Communist Party Of India (Marxist),"2,01,749","1,47,045",72.9 %,"15,098",10.3%,2016
63,Manalur,64,GEN,Thrissur,Murali Perunelly,Communist Party Of India (Marxist),"2,11,711","1,61,890",76.5 %,"19,325",11.9%,2016
64,Wadakkanchery,65,GEN,Thrissur,Anil Akkara,Indian National Congress,"1,97,225","1,58,812",80.5 %,43,0.0%,2016
65,Ollur,66,GEN,Thrissur,Adv. K. Rajan,Communist Party Of India,"1,93,094","1,49,568",77.5 %,"13,248",8.9%,2016
66,Thrissur,67,GEN,Thrissur,V S Sunilkumar,Communist Party Of India,"1,72,138","1,26,063",73.2 %,"6,987",5.5%,2016
67,Nattika,68,SC,Thrissur,Geetha Gopi,Communist Party Of India,"1,96,680","1,49,609",76.1 %,"26,777",17.9%,2016
68,Kaipamangalam,69,GEN,Thrissur,E T Taison Master,Communist Party Of India,"1,69,809","1,34,161",79.0 %,"33,440",24.9%,2016
69,Irinjalakkuda,70,GEN,Thrissur,Prof. K.U. Arunan,Communist Party Of India (Marxist),"1,91,743","1,48,467",77.4 %,"2,711",1.8%,2016
70,Puthukkad,71,GEN,Thrissur,Prof.C.Raveendranath,Communist Party Of India (Marxist),"1,95,008","1,57,942",81.0 %,"38,478",24.4%,2016
71,Chalakkudy,72,GEN,Thrissur,B. D. Devassy,Communist Party Of India (Marxist),"1,90,396","1,49,655",78.6 %,"26,648",17.8%,2016
72,Kodungallur,73,GEN,Thrissur,V R Sunilkumar,Communist Party Of India,"1,86,659","1,47,691",79.1 %,"22,791",15.4%,2016
73,Perumbavoor,74,GEN,Ernakulam,Adv. Eldose P Kunnappilly,Indian National Congress,"1,72,897","1,44,896",83.8 %,"7,088",4.9%,2016
74,Angamaly,75,GEN,Ernakulam,Roji M John,Indian National Congress,"1,63,530","1,35,346",82.8 %,"9,186",6.8%,2016
75,Aluva,76,GEN,Ernakulam,Anwar Sadath,Indian National Congress,"1,76,344","1,46,055",82.8 %,"18,835",12.9%,2016
76,Kalamassery,77,GEN,Ernakulam,V K Ibrahim Kunju,Indian Union Muslim League,"1,90,374","1,53,801",80.8 %,"12,118",7.9%,2016
77,Paravur,78,GEN,Ernakulam,V D Satheesan,Indian National Congress,"1,91,015","1,59,676",83.6 %,"20,634",12.9%,2016
78,Vypen,79,GEN,Ernakulam,S Sarma,Communist Party Of India (Marxist),"1,64,055","1,30,259",79.4 %,"19,353",14.9%,2016
79,Kochi,80,GEN,Ernakulam,K J Maxy,Communist Party Of India (Marxist),"1,71,216","1,22,952",71.8 %,"1,086",0.9%,2016
80,Thripunithura,81,GEN,Ernakulam,Adv. M Swaraj,Communist Party Of India (Marxist),"1,98,003","1,53,657",77.6 %,"4,467",2.9%,2016
81,Eranakulam,82,GEN,Ernakulam,Hibi Eden,Indian National Congress,"1,53,884","1,09,568",71.2 %,"21,949",20.0%,2016
82,Thrikkakara,83,GEN,Ernakulam,Adv.P T Thomas,Indian National Congress,"1,81,025","1,34,029",74.0 %,"11,996",9.0%,2016
83,Kunnathunad,84,SC,Ernakulam,V P Sajeendran,Indian National Congress,"1,72,383","1,47,138",85.4 %,"2,679",1.8%,2016
84,Piravom,85,GEN,Ernakulam,Anoop Jacob,Kerala Congress (Jacob),"1,99,652","1,60,206",80.2 %,"6,195",3.9%,2016
85,Muvattupuzha,86,GEN,Ernakulam,Eldho Abraham,Communist Party Of India,"1,77,766","1,41,983",79.9 %,"9,375",6.6%,2016
86,Kothamangalam,87,GEN,Ernakulam,Antony John,Communist Party Of India (Marxist),"1,59,374","1,27,624",80.1 %,"19,282",15.1%,2016
87,Devikulam,88,SC,Idukki,S Rajendran,Communist Party Of India (Marxist),"1,64,701","1,16,461",70.7 %,"5,782",5.0%,2016
88,Udumbanchola,89,GEN,Idukki,M.M. Mani,Communist Party Of India (Marxist),"1,66,519","1,25,416",75.3 %,"1,109",0.9%,2016
89,Thodupuzha,90,GEN,Idukki,P.J. Joseph,Kerala Congress(M),"1,95,762","1,40,355",71.7 %,"45,587",32.5%,2016
90,Idukki,91,GEN,Idukki,Roshy Augustine,Kerala Congress(M),"1,83,876","1,40,845",76.6 %,"9,333",6.6%,2016
91,Peerumade,92,GEN,Idukki,E S Bijimol,Communist Party Of India,"1,75,275","1,28,320",73.2 %,314,0.2%,2016
92,Pala,93,GEN,Kottayam,K M Mani,Kerala Congress(M),"1,79,829","1,38,868",77.2 %,"4,703",3.4%,2016
93,Kaduthuruthy,94,GEN,Kottayam,Adv. Mons Joseph,Kerala Congress(M),"1,82,300","1,25,639",68.9 %,"42,256",33.6%,2016
94,Vaikom,95,SC,Kottayam,C K Asha,Communist Party Of India,"1,62,057","1,31,248",81.0 %,"24,584",18.7%,2016
95,Ettumanoor,96,GEN,Kottayam,Suresh Kurup,Communist Party Of India (Marxist),"1,64,993","1,31,704",79.8 %,"8,899",6.8%,2016
96,Kottayam,97,GEN,Kottayam,Thiruvanchoor Radhakrishnan,Indian National Congress,"1,63,783","1,28,120",78.2 %,"33,632",26.3%,2016
97,Puthuppally,98,GEN,Kottayam,Oommen Chandy,Indian National Congress,"1,72,968","1,33,404",77.1 %,"27,092",20.3%,2016
98,Changanassery,99,GEN,Kottayam,C F Thomas,Kerala Congress(M),"1,66,784","1,25,222",75.1 %,"1,849",1.5%,2016
99,Kanjirappally,100,GEN,Kottayam,Dr. N Jayaraj,Kerala Congress(M),"1,78,643","1,36,090",76.2 %,"3,890",2.9%,2016
100,Poonjar,101,GEN,Kottayam,P C George Plathottam,Independent,"1,83,357","1,45,440",79.3 %,"27,821",19.1%,2016
101,Aroor,102,GEN,Alappuzha,Adv.A.M.Ariff,Communist Party Of India (Marxist),"1,88,450","1,61,139",85.5 %,"38,519",23.9%,2016
102,Cherthala,103,GEN,Alappuzha,P.Thilothaman,Communist Party Of India,"2,04,549","1,76,968",86.5 %,"7,196",4.1%,2016
103,Alappuzha,104,GEN,Alappuzha,Dr.T.M.Thomas Isaac,Communist Party Of India (Marxist),"1,93,148","1,55,294",80.4 %,"31,032",20.0%,2016
104,Ambalapuzha,105,GEN,Alappuzha,G.Sudhakaran,Communist Party Of India (Marxist),"1,68,306","1,32,667",78.8 %,"22,621",17.1%,2016
105,Kuttanad,106,GEN,Alappuzha,Thomas Chandy,Nationalist Congress Party,"1,63,744","1,29,736",79.2 %,"4,891",3.8%,2016
106,Haripad,107,GEN,Alappuzha,Ramesh Chennithala,Indian National Congress,"1,84,368","1,48,511",80.6 %,"18,621",12.5%,2016
107,Kayamkulam,108,GEN,Alappuzha,Adv.U.Prathibha Hari,Communist Party Of India (Marxist),"1,99,516","1,56,348",78.4 %,"11,857",7.6%,2016
108,Mavelikara,109,SC,Alappuzha,R.Rajesh,Communist Party Of India (Marxist),"1,95,581","1,49,165",76.3 %,"31,542",21.1%,2016
109,Chengannur,110,GEN,Alappuzha,Adv.K.K.Ramachandran Nair,Communist Party Of India (Marxist),"1,95,493","1,45,155",74.3 %,"7,983",5.5%,2016
110,Thiruvalla,111,GEN,Pathanamthitta,Adv.Mathew T Thomas,Janata Dal (Secular),"2,07,825","1,44,063",69.3 %,"8,262",5.7%,2016
111,Ranni,112,GEN,Pathanamthitta,Raju Abraham,Communist Party Of India (Marxist),"1,89,610","1,33,489",70.4 %,"14,596",10.9%,2016
112,Aranmula,113,GEN,Pathanamthitta,Veena George,Communist Party Of India (Marxist),"2,26,324","1,60,863",71.1 %,"7,646",4.8%,2016
113,Konni,114,GEN,Pathanamthitta,Adoor Prakash,Indian National Congress,"1,94,721","1,42,809",73.3 %,"20,748",14.5%,2016
114,Adoor,115,SC,Pathanamthitta,Chittayam Gopakumar,Communist Party Of India,"2,06,692","1,54,346",74.7 %,"25,460",16.5%,2016
115,Karunagappally,116,GEN,Kollam,R.Ramachandran,Communist Party Of India,"2,03,244","1,61,761",79.6 %,"1,759",1.1%,2016
116,Chavara,117,GEN,Kollam,N.Vijayan Pillai,Communist Marxist Party Kerala State Committee,"1,75,280","1,37,519",78.5 %,"6,189",4.5%,2016
117,Kunnathur,118,SC,Kollam,Kovoor Kunjumon,Independent,"2,07,296","1,58,757",76.6 %,"20,529",12.9%,2016
118,Kottarakkara,119,GEN,Kollam,Adv. P.Aisha Potty,Communist Party Of India (Marxist),"1,98,762","1,49,771",75.4 %,"42,632",28.5%,2016
119,Pathanapuram,120,GEN,Kollam,K.B. Ganesh Kumar,Kerala Congress (B),"1,89,063","1,41,604",74.9 %,"24,562",17.3%,2016
120,Punalur,121,GEN,Kollam,Adv.K.Raju,Communist Party Of India,"2,03,912","1,43,583",70.4 %,"33,582",23.4%,2016
121,Chadayamangalam,122,GEN,Kollam,Retnakaran,Communist Party Of India,"1,95,813","1,44,442",73.8 %,"21,928",15.2%,2016
122,Kundara,123,GEN,Kollam,J.Mercy Kutty Amma,Communist Party Of India (Marxist),"1,98,949","1,51,871",76.3 %,"30,460",20.1%,2016
123,Kollam,124,GEN,Kollam,M Mukesh,Communist Party Of India (Marxist),"1,72,148","1,28,394",74.6 %,"17,611",13.7%,2016
124,Eravipuram,125,GEN,Kollam,M. Noushad,Communist Party Of India (Marxist),"1,69,999","1,24,021",73.0 %,"28,803",23.2%,2016
125,Chathannur,126,GEN,Kollam,G.S.Jayalal,Communist Party Of India,"1,78,941","1,32,595",74.1 %,"34,407",25.9%,2016
126,Varkala,127,GEN,Thiruvananthapuram,Adv.V.Joy,Communist Party Of India (Marxist),"1,78,706","1,27,549",71.4 %,"2,386",1.9%,2016
127,Attingal,128,SC,Thiruvananthapuram,Adv.B.Satyan,Communist Party Of India (Marxist),"1,98,146","1,36,870",69.1 %,"40,383",29.5%,2016
128,Chirayinkeezhu,129,SC,Thiruvananthapuram,V. Sasi,Communist Party Of India,"1,96,776","1,37,288",69.8 %,"14,322",10.4%,2016
129,Nedumangad,130,GEN,Thiruvananthapuram,C.Divakaran,Communist Party Of India,"2,02,910","1,50,532",74.2 %,"3,621",2.4%,2016
130,Vamanapuram,131,GEN,Thiruvananthapuram,Adv. D.K.Murali,Communist Party Of India (Marxist),"1,96,344","1,40,646",71.6 %,"9,596",6.8%,2016
131,Kazhakkoottam,132,GEN,Thiruvananthapuram,Kadakampally Surendran,Communist Party Of India (Marxist),"1,80,984","1,33,137",73.6 %,"7,347",5.5%,2016
132,Vattiyoorkavu,133,GEN,Thiruvananthapuram,K Muraleedharan,Indian National Congress,"1,94,344","1,36,291",70.1 %,"7,622",5.6%,2016
133,Thiruvananthapuram,134,GEN,Thiruvananthapuram,V.S. Sivakumar,Indian National Congress,"1,92,714","1,24,777",64.7 %,"10,905",8.7%,2016
134,Nemom,135,GEN,Thiruvananthapuram,O.Rajagopal,Bharatiya Janta Party,"1,91,532","1,41,998",74.1 %,"8,671",6.1%,2016
135,Aruvikkara,136,GEN,Thiruvananthapuram,K.S. Sabarinadhan,Indian National Congress,"1,88,347","1,43,125",76.0 %,"21,314",14.9%,2016
136,Parassala,137,GEN,Thiruvananthapuram,C.K.Hareendrakumar (C.K.HAREENDRAN),Communist Party Of India (Marxist),"2,08,815","1,57,238",75.3 %,"18,566",11.8%,2016
137,Kattakkada,138,GEN,Thiruvananthapuram,Adv. I.B. Satheesh,Communist Party Of India (Marxist),"1,85,955","1,42,902",76.8 %,849,0.6%,2016
138,Kovalam,139,GEN,Thiruvananthapuram,Adv.M.Vincent,Indian National Congress,"2,06,613","1,53,121",74.1 %,"2,615",1.7%,2016
139,Neyyattinkara,140,GEN,Thiruvananthapuram,K.Ansalan,Communist Party Of India (Marxist),"1,77,798","1,33,952",75.3 %,"9,543",7.1%,2016
0,Manjeshwar,1,GEN,Kasaragod,P B Abdul Razak,Muslim League Kerala State Committee,"1,76,817","1,32,973",75.2 %,"5,828",4.4%,2011
1,Kasaragod,2,GEN,Kasaragod,N.A.Nellikkunnu,Muslim League Kerala State Committee,"1,59,289","1,17,031",73.5 %,"9,738",8.3%,2011
2,Udma,3,GEN,Kasaragod,K.Kunhiraman,Communist Party Of India (Marxist),"1,73,529","1,28,626",74.1 %,"11,380",8.8%,2011
3,Kanhangad,4,GEN,Kasaragod,E.Chandrashekharan,Communist Party Of India,"1,78,186","1,39,841",78.5 %,"12,178",8.7%,2011
4,Trikaripur,5,GEN,Kasaragod,K Kunhiraman,Communist Party Of India (Marxist),"1,69,761","1,35,988",80.1 %,"8,765",6.4%,2011
5,Payyannur,6,GEN,Kannur,C.Krishnan,Communist Party Of India (Marxist),"1,58,613","1,30,666",82.4 %,"32,124",24.6%,2011
6,Kalliasseri,7,GEN,Kannur,T.V. Rajesh,Communist Party Of India (Marxist),"1,57,384","1,24,854",79.3 %,"29,946",24.0%,2011
7,Taliparamba,8,GEN,Kannur,James Mathew,Communist Party Of India (Marxist),"1,74,788","1,44,363",82.6 %,"27,861",19.3%,2011
8,Irikkur,9,GEN,Kannur,K. C. Joseph,Indian National Congress,"1,69,262","1,30,703",77.2 %,"11,757",9.0%,2011
9,Azhikode,10,GEN,Kannur,K.M.Shaji,Muslim League Kerala State Committee,"1,47,782","1,21,832",82.4 %,493,0.4%,2011
10,Kannur,11,GEN,Kannur,A.P Abdullakutty,Indian National Congress,"1,43,828","1,13,360",78.8 %,"6,443",5.7%,2011
11,Dharmadam,12,GEN,Kannur,K.K. Narayanan,Communist Party Of India (Marxist),"1,63,674","1,36,177",83.2 %,"15,162",11.1%,2011
12,Thalassery,13,GEN,Kannur,Kodiyeri Balakrishnan,Communist Party Of India (Marxist),"1,49,689","1,17,763",78.7 %,"26,509",22.5%,2011
13,Kuthuparamba,14,GEN,Kannur,K.P.Mohanan S/o P R Kurup,Socialist Janta (DEMOCRATIC),"1,60,335","1,27,929",79.8 %,"3,303",2.6%,2011
14,Mattannur,15,GEN,Kannur,E.P.Jayarajan,Communist Party Of India (Marxist),"1,60,711","1,32,947",82.7 %,"30,512",23.0%,2011
15,Peravoor,16,GEN,Kannur,Adv.Sunny Joseph,Indian National Congress,"1,45,983","1,16,813",80.0 %,"3,440",2.9%,2011
16,Mananthavady,17,ST,Wayanad,P.K.Jayalakshmi,Indian National Congress,"1,67,097","1,24,052",74.2 %,"12,734",10.3%,2011
17,Sulthanbathery,18,ST,Wayanad,I.C Balakrishnan,Indian National Congress,"1,98,645","1,45,512",73.3 %,"7,583",5.2%,2011
18,Kalpetta,19,GEN,Wayanad,M.V Sreyamskumar,Socialist Janta (DEMOCRATIC),"1,70,245","1,26,584",74.4 %,"18,169",14.4%,2011
19,Vadakara,20,GEN,Kozhikode,C.K.Nanu,Janata Dal (Secular),"1,41,576","1,14,267",80.7 %,847,0.7%,2011
20,Kuttiadi,21,GEN,Kozhikode,K.K.Lathika,Communist Party Of India (Marxist),"1,62,389","1,42,453",87.7 %,"6,972",4.9%,2011
21,Nadapuram,22,GEN,Kozhikode,E.K.Vijayan,Communist Party Of India,"1,79,451","1,46,430",81.6 %,"7,546",5.2%,2011
22,Quilandy,23,GEN,Kozhikode,K.Dasan,Communist Party Of India (Marxist),"1,66,654","1,36,394",81.8 %,"4,139",3.0%,2011
23,Perambra,24,GEN,Kozhikode,K. Kunhammad Master,Communist Party Of India (Marxist),"1,59,699","1,35,334",84.7 %,"15,269",11.3%,2011
24,Balusseri,25,SC,Kozhikode,Purushan Kadalundi,Communist Party Of India (Marxist),"1,85,134","1,51,004",81.6 %,"8,882",5.9%,2011
25,Elathur,26,GEN,Kozhikode,A.K. Saseendran,Nationalist Congress Party,"1,62,835","1,33,906",82.2 %,"14,654",10.9%,2011
26,Kozhikode North,27,GEN,Kozhikode,A. Pradeep Kumar,Communist Party Of India (Marxist),"1,50,415","1,16,300",77.3 %,"8,998",7.7%,2011
27,Kozhikode South,28,GEN,Kozhikode,Dr. M.K. Muneer,Muslim League Kerala State Committee,"1,32,780","1,03,671",78.1 %,"1,376",1.3%,2011
28,Beypore,29,GEN,Kozhikode,Elamaram Kareem,Communist Party Of India (Marxist),"1,64,045","1,29,390",78.9 %,"5,316",4.1%,2011
29,Kunnamangalam,30,GEN,Kozhikode,Adv.P.T.A.Rahim,Independent,"1,78,089","1,50,187",84.3 %,"3,269",2.2%,2011
30,Koduvally,31,GEN,Kozhikode,V.M.Ummer Master,Muslim League Kerala State Committee,"1,42,384","1,13,824",79.9 %,"16,552",14.5%,2011
31,Thiruvambady,32,GEN,Kozhikode,C Moyinkutty,Muslim League Kerala State Committee,"1,45,763","1,15,754",79.4 %,"3,833",3.3%,2011
32,Kondotty,33,GEN,Malappuram,K Muhammedunni Haji,Muslim League Kerala State Committee,"1,58,057","1,19,675",75.7 %,"28,149",23.5%,2011
33,Eranad,34,GEN,Malappuram,P.K.Basheer,Muslim League Kerala State Committee,"1,41,833","1,14,435",80.7 %,"11,246",9.8%,2011
34,Nilambur,35,GEN,Malappuram,Aryadan Mohammed,Indian National Congress,"1,74,945","1,36,358",77.9 %,"5,598",4.1%,2011
35,Wandoor,36,SC,Malappuram,A.P.Anilkumar,Indian National Congress,"1,80,715","1,32,610",73.4 %,"28,919",21.8%,2011
36,Manjeri,37,GEN,Malappuram,Adv.M.Ummer,Muslim League Kerala State Committee,"1,64,144","1,16,553",71.0 %,"29,079",24.9%,2011
37,Perinthalmanna,38,GEN,Malappuram,Manjalamkuzhi Ali,Muslim League Kerala State Committee,"1,65,043","1,33,735",81.0 %,"9,589",7.2%,2011
38,Mankada,39,GEN,Malappuram,T.A.Ahmed Kabeer,Muslim League Kerala State Committee,"1,64,067","1,21,247",73.9 %,"23,593",19.5%,2011
39,Malappuram,40,GEN,Malappuram,P. Ubaidulla,Muslim League Kerala State Committee,"1,67,739","1,22,245",72.9 %,"44,508",36.4%,2011
40,Vengara,41,GEN,Malappuram,P.K.Kunhalikutty,Muslim League Kerala State Committee,"1,44,317",99530,69.0 %,"38,237",38.4%,2011
41,Vallikkunnu,42,GEN,Malappuram,Adv.K.N.A.Khader,Muslim League Kerala State Committee,"1,56,309","1,13,304",72.5 %,"18,122",16.0%,2011
42,Tirurangadi,43,GEN,Malappuram,P.K.Abdu Rabb,Muslim League Kerala State Committee,"1,52,896","1,00,323",65.6 %,"30,208",30.1%,2011
43,Tanur,44,GEN,Malappuram,Abdurahiman Randathani,Muslim League Kerala State Committee,"1,38,095","1,04,106",75.4 %,"9,433",9.1%,2011
44,Tirur,45,GEN,Malappuram,C Mammootty,Muslim League Kerala State Committee,"1,66,314","1,26,353",76.0 %,"23,566",18.7%,2011
